time_ground,flux_ground
5.852859000000000123e+01,1.000993999999999939e+00
5.853206200000000337e+01,1.002307999999999977e+00
5.853553399999999840e+01,9.984169999999999989e-01
5.853900699999999802e+01,1.002207000000000070e+00
5.854247900000000016e+01,9.968179999999999819e-01
5.854595100000000230e+01,9.996369999999999978e-01
5.854942299999999733e+01,9.992870000000000363e-01
5.855289499999999947e+01,1.000364999999999949e+00
5.855636700000000161e+01,1.000601000000000074e+00
5.855983899999999664e+01,1.000407999999999964e+00
5.856331099999999878e+01,9.994499999999999496e-01
5.856678399999999840e+01,1.001255999999999924e+00
5.857025600000000054e+01,1.003500999999999976e+00
5.857372800000000268e+01,1.001473000000000058e+00
5.857719999999999771e+01,9.999390000000000223e-01
5.858067199999999985e+01,1.000744000000000078e+00
5.858414400000000199e+01,1.002534000000000036e+00
5.858761599999999703e+01,1.001354999999999995e+00
5.859108799999999917e+01,1.000102999999999964e+00
5.859456099999999878e+01,9.992220000000000546e-01
5.859803300000000092e+01,9.994110000000000493e-01
5.860150500000000306e+01,9.964889999999999581e-01
5.860497699999999810e+01,1.000764999999999905e+00
5.860844900000000024e+01,1.002491999999999939e+00
5.861192100000000238e+01,9.998599999999999710e-01
5.861539299999999741e+01,1.003883000000000081e+00
5.861886499999999955e+01,9.989179999999999726e-01
5.862233799999999917e+01,9.971640000000000503e-01
5.862581000000000131e+01,9.992520000000000291e-01
5.862928200000000345e+01,9.971139999999999448e-01
5.863275399999999848e+01,9.986810000000000409e-01
5.863622600000000062e+01,1.001397000000000093e+00
5.863969800000000276e+01,9.981989999999999474e-01
5.864316999999999780e+01,1.000728000000000062e+00
5.864664199999999994e+01,1.001309999999999922e+00
5.865011400000000208e+01,1.001654999999999962e+00
5.865358700000000169e+01,9.994709999999999983e-01
5.865705899999999673e+01,9.977869999999999795e-01
5.866053099999999887e+01,9.957340000000000080e-01
5.866400300000000101e+01,9.997749999999999693e-01
5.866747500000000315e+01,9.988569999999999949e-01
5.867094699999999818e+01,1.002034000000000091e+00
5.867441900000000032e+01,9.978230000000000155e-01
5.867789100000000246e+01,9.994420000000000526e-01
5.868136400000000208e+01,1.001969000000000110e+00
5.868483599999999711e+01,9.979759999999999742e-01
5.868830799999999925e+01,1.000731000000000037e+00
5.869178000000000139e+01,9.990820000000000256e-01
5.869525200000000353e+01,1.000728999999999980e+00
5.869872399999999857e+01,1.002002000000000059e+00
5.870219600000000071e+01,9.988460000000000116e-01
5.870566800000000285e+01,1.001322999999999963e+00
5.870914100000000246e+01,9.993959999999999511e-01
5.871261299999999750e+01,9.988920000000000021e-01
5.871608499999999964e+01,1.001799000000000106e+00
5.871955700000000178e+01,1.001114999999999977e+00
5.872302899999999681e+01,1.001408999999999994e+00
5.872650099999999895e+01,1.000621999999999900e+00
5.872997300000000109e+01,1.001597999999999988e+00
5.873344500000000323e+01,1.000229000000000035e+00
5.873691800000000285e+01,1.000583999999999918e+00
5.874038999999999788e+01,1.003819000000000017e+00
